	topicClassValue	SocietyAndCulture.SocialChange	SocietyAndCulture.SocialChange	86
	topicClassValue	SocietyAndCulture.SocialConditionsAndIndicators	SocietyAndCulture.SocialConditionsAndIndicators	87
	topicClassValue	SocietyAndCulture.TimeUse	SocietyAndCulture.TimeUse	88
	topicClassValue	TradeIndustryAndMarkets	TradeIndustryAndMarkets	89
	topicClassValue	TradeIndustryAndMarkets.AgricultureAndRuralIndustry	TradeIndustryAndMarkets.AgricultureAndRuralIndustry	90
	topicClassValue	TradeIndustryAndMarkets.BusinessIndustrialManagementAndOrganisation	TradeIndustryAndMarkets.BusinessIndustrialManagementAndOrganisation	91
	topicClassValue	TradeIndustryAndMarkets.ForeignTrade	TradeIndustryAndMarkets.ForeignTrade	92
	topicClassValue	TransportAndTravel	TransportAndTravel	93
	topicClassValue	Other	Other	94
	kindOfData	Numeric	Numeric	0
	kindOfData	Text	Text	1
	kindOfData	StillImage	StillImage	2
	kindOfData	Geospatial	Geospatial	3
	kindOfData	Audio	Audio	4
	kindOfData	Video	Video	5
	kindOfData	Software	Software	6
	kindOfData	InteractiveResource	InteractiveResource	7
	kindOfData	ThreeD	ThreeD	8
	kindOfData	Other	Other	9
